DFT_ID,Alloy,Ti,Zr,Hf,V,Nb,Ta,Mo,W,Re
DFT_0291,Ti25Zr20Hf30Nb25,25,20,30,0,25,0,0,0,0
DFT_0292,Ti25Zr23Hf27Nb12Ta13,25,23,27,0,12,13,0,0,0
DFT_0293,Ti26Zr32Nb31Ta3Mo8,26,32,0,0,31,3,8,0,0
DFT_0294,Ti27Hf23Nb25Ta25,27,0,23,0,25,25,0,0,0
DFT_0295,Ti28Zr22Nb25Ta25,28,22,0,0,25,25,0,0,0
DFT_0296,Ti28Zr27Hf31Ta14,28,27,31,0,0,14,0,0,0
DFT_0297,Ti28Zr32Hf24Ta16,28,32,24,0,0,16,0,0,0
DFT_0298,Ti29Zr25V21Nb25,29,25,0,21,25,0,0,0,0
DFT_0299,Ti29Zr25Hf32Nb14,29,25,32,0,14,0,0,0,0
DFT_0300,Ti30Zr24Hf34Ta12,30,24,34,0,0,12,0,0,0
DFT_0301,Ti35Zr32Hf22Nb5Ta6,35,32,22,0,5,6,0,0,0
DFT_0302,Ti35Zr40Nb20Mo5,35,40,0,0,20,0,5,0,0
DFT_0303,Ti36Zr31Nb33,36,31,0,0,33,0,0,0,0
DFT_0304,Ti37V19Nb22Ta22,37,0,0,19,22,22,0,0,0
DFT_0305,Ti37V30Nb33,37,0,0,30,33,0,0,0,0
DFT_0306,Ti37Hf23V11Nb22W7,37,0,23,11,22,0,0,7,0
DFT_0307,Ti38Hf21V20Nb21,38,0,21,20,21,0,0,0,0
DFT_0308,Ti38Zr33V12Nb17,38,33,0,12,17,0,0,0,0
DFT_0309,Ti41Hf14V29Nb16,41,0,14,29,16,0,0,0,0
DFT_0310,Ti41Hf24V12Nb23,41,0,24,12,23,0,0,0,0
DFT_0311,Ti41Zr45Nb5Mo9,41,45,0,0,5,0,9,0,0
DFT_0312,Ti43Zr10V33Nb14,43,10,0,33,14,0,0,0,0
DFT_0313,Ti43Zr12V28Nb14Mo3,43,12,0,28,14,0,3,0,0
DFT_0314,Ti43Zr37Nb5Ta5Mo10,43,37,0,0,5,5,10,0,0
DFT_0315,Ti48Zr42Nb5Ta5,48,42,0,0,5,5,0,0,0
DFT_0316,Ti49Zr14V23Nb14,49,14,0,23,14,0,0,0,0
DFT_0317,Ti49Zr25Nb26,49,25,0,0,26,0,0,0,0
DFT_0318,Ti53Zr28Nb13Ta6,53,28,0,0,13,6,0,0,0
DFT_0319,Ti59Zr27Nb14,59,27,0,0,14,0,0,0,0
DFT_0320,Nb45Ta25Mo5W25,0,0,0,0,45,25,5,25,0
DFT_0321,V10Nb15Ta30Mo15W30,0,0,0,10,15,30,15,30,0
DFT_0322,V10Nb15Ta50W25,0,0,0,10,15,50,0,25,0
DFT_0323,V10Nb45Mo20W25,0,0,0,10,45,0,20,25,0
DFT_0324,V20Nb25Ta15Mo30W10,0,0,0,20,25,15,30,10,0
DFT_0325,V30Nb35Ta5W30,0,0,0,30,35,5,0,30,0
DFT_0326,V35Ta5Mo30W30,0,0,0,35,0,5,30,30,0
DFT_0327,V35Nb25Mo20W20,0,0,0,35,25,0,20,20,0
DFT_0328,V40Ta25Mo20W15,0,0,0,40,0,25,20,15,0
DFT_0329,V40Nb20Ta15Mo15W10,0,0,0,40,20,15,15,10,0
DFT_0330,Hf5V20Ta30Mo15W30,0,0,5,20,0,30,15,30,0
DFT_0331,Hf10Nb20Ta35Mo20W15,0,0,10,0,20,35,20,15,0
DFT_0332,Hf20V15Nb5Ta15Mo30W15,0,0,20,15,5,15,30,15,0
DFT_0333,Hf35V25Ta25W15,0,0,35,25,0,25,0,15,0
DFT_0334,Hf40V10Mo30W20,0,0,40,10,0,0,30,20,0
DFT_0335,Zr5V30Nb35Mo30,0,5,0,30,35,0,30,0,0
DFT_0336,Zr5Hf20Nb25Mo20W30,0,5,20,0,25,0,20,30,0
DFT_0337,Zr10Ta30Mo30W30,0,10,0,0,0,30,30,30,0
DFT_0338,Zr10Nb35Ta20Mo5W30,0,10,0,0,35,20,5,30,0
DFT_0339,Zr10V15Nb40Mo15W20,0,10,0,15,40,0,15,20,0
DFT_0340,Zr10V20Ta10Mo30W30,0,10,0,20,0,10,30,30,0
